"","name","type","calories","protein","fat","sodium","fiber","carbo","sugars","potass","vitamins","shelf","weight","cups","rating"
"1","All-Bran","C",70,4,1,260,9,7,5,320,25,3,1,0.33,59.425505
"2","All-Bran_with_Extra_Fiber","C",50,4,0,140,14,8,0,330,25,3,1,0.5,93.704912
"3","Apple_Jacks","C",110,2,0,125,1,11,14,30,25,2,1,1,33.174094
"4","Corn_Flakes","C",100,2,0,290,1,21,2,35,25,1,1,1,45.863324
"5","Corn_Pops","C",110,1,0,90,1,13,12,20,25,2,1,1,35.782791
"6","Cracklin'_Oat_Bran","C",110,3,3,140,4,10,7,160,25,3,1,0.5,40.448772
"7","Crispix","C",110,2,0,220,1,21,3,30,25,3,1,1,46.895644
"8","Froot_Loops","C",110,2,1,125,1,11,13,30,25,2,1,1,32.207582
"9","Frosted_Flakes","C",110,1,0,200,1,14,11,25,25,1,1,0.75,31.435973
"10","Frosted_Mini-Wheats","C",100,3,0,0,3,14,7,100,25,2,1,0.8,58.345141
"11","Fruitful_Bran","C",120,3,0,240,5,14,12,190,25,3,1.33,0.67,41.015492
"12","Just_Right_Crunchy__Nuggets","C",110,2,1,170,1,17,6,60,100,3,1,1,36.523683
"13","Just_Right_Fruit_&_Nut","C",140,3,1,170,2,20,9,95,100,3,1.3,0.75,36.471512
"14","Mueslix_Crispy_Blend","C",160,3,2,150,3,17,13,160,25,3,1.5,0.67,30.313351
"15","Nut&Honey_Crunch","C",120,2,1,190,0,15,9,40,25,2,1,0.67,29.924285
"16","Nutri-Grain_Almond-Raisin","C",140,3,2,220,3,21,7,130,25,3,1.33,0.67,40.69232
"17","Nutri-grain_Wheat","C",90,3,0,170,3,18,2,90,25,3,1,1,59.642837
"18","Product_19","C",100,3,0,320,1,20,3,45,100,3,1,1,41.50354
"19","Raisin_Bran","C",120,3,1,210,5,14,12,240,25,2,1.33,0.75,39.259197
"20","Raisin_Squares","C",90,2,0,0,2,15,6,110,25,3,1,0.5,55.333142
"21","Rice_Krispies","C",110,2,0,290,0,22,3,35,25,1,1,1,40.560159
"22","Smacks","C",110,2,1,70,1,9,15,40,25,2,1,0.75,31.230054
"23","Special_K","C",110,6,0,230,1,16,3,55,25,1,1,1,53.131324
